Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
Asus Smartphone for Snapdragon Insiders,,,16 GB|512 GB,"6.78 inch, 109.5 cm 2 (~81.8% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom, OIS 12 MP, f/2.2, 112˚, 14mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF Rear Camera",Li-Po 4000 mAh Battery,Qualcomm SM8350 Snapdragon 888 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus ZenFone Lite (L1) ZA551KL,,,2 GB|16 GB,"5.45 inch, 76.7 cm 2 (~72.5% screen-to-body ratio) Display","13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF Rear Camera","Li-Ion 3000 mAh, non-removable Battery",Qualcomm MSM8937 Snapdragon 430 (28 nm) Processor,1 Year,Not Available,,,,
Asus ZenFone Live (L1) ZA550KL,,,1 GB|16 GB,"5.5 inch, 78.1 cm 2 (~73.8% screen-to-body ratio) Display","13 MP, f/2.0, PDAF Rear Camera","Li-Ion 3000 mAh, non-removable Battery",Qualcomm MSM8917 Snapdragon 425 (28 nm) Processor,1 Year,Not Available,,,,
Asus ZenFone Live (L2),,,2 GB|16 GB,"5.5 inch, 78.1 cm 2 (~73.8% screen-to-body ratio) Display","8 MP or 13 MP, f/2.0, PDAF Rear Camera","Li-Ion 3000 mAh, non-removable Battery",Qualcomm MSM8917 Snapdragon 425 (28 nm) Qualcomm MSM8937 Snapdragon 430 (28 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 10,,,8 GB|128 GB,"5.92 inch, 84.6 cm 2 (~84.8% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, gimbal OIS 13 MP, f/2.2, 120° (ultrawide), 1/3.06"", 1.12µm Rear Camera",Li-Po 4300 mAh Battery,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 11 Ultra,,,12 GB|256 GB,"6.78 inch, 111.0 cm 2 (~88.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 32 MP, f/2.4, 65mm (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom 13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm Rear Camera",5500 mAh Battery,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 12 Ultra,,,12 GB|256 GB,"6.78 inch, 111.0 cm 2 (~88.0% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 32 MP, f/2.4, 65mm (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom 13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm Rear Camera",5500 mAh Battery,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 4 Pro ZS551KL,,,6 GB|64 GB,"5.5 inch, 83.4 cm 2 (~70.3% screen-to-body ratio) Display","12 MP, f/1.7, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, 4-axis OIS 16 MP, 50mm (telephoto), 1/3.1"", 1.0µm, AF, 2x optical zoom Rear Camera","Li-Ion 3600 mAh, non-removable Battery",Qualcomm MSM8998 Snapdragon 835 (10 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 4 ZE554KL,,,4 GB|64 GB,"5.5 inch, 83.4 cm 2 (~71.4% screen-to-body ratio) Display","12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 8 MP, 12mm (ultrawide), 1/4.0"", 1.12µm, no AF Rear Camera","Li-Ion 3300 mAh, non-removable Battery",Qualcomm SDM630 Snapdragon 630 (14 nm) Qualcomm SDM660 Snapdragon 660 (14 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 5 Lite ZC600KL,,,3 GB|32 GB,"6.0 inch, 92.9 cm 2 (~75.9% screen-to-body ratio) Display","16 MP, f/2.2, 26mm (wide), PDAF Unknown MP, 13mm, no AF Rear Camera","Li-Ion 3300 mAh, non-removable Battery",Qualcomm SDM630 Snapdragon 630 (14 nm) Qualcomm MSM8937 Snapdragon 430 (28 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 5 ZE620KL,,,4 GB|64 GB,"6.2 inch, 96.9 cm 2 (~83.6% screen-to-body ratio) Display","12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, PDAF, 4-axis OIS 8 MP, f/2.0, 12mm (ultrawide), 1/4.0"", 1.12µm, no AF Rear Camera","Li-Ion 3300 mAh, non-removable Battery",Qualcomm SDM636 Snapdragon 636 (14 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 5z ZS620KL,,,4 GB|64 GB,"6.2 inch, 96.9 cm 2 (~83.6% screen-to-body ratio) Display","12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, PDAF, 4-axis OIS 8 MP, f/2.0, 12mm (ultrawide), 1/4.0"", 1.12µm, no AF Rear Camera","Li-Ion 3300 mAh, non-removable Battery",Qualcomm SDM845 Snapdragon 845 (10 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 6 ZS630KL,,,6 GB|64 GB,"6.4 inch, 100.5 cm 2 (~83.8% screen-to-body ratio) Display","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 13 MP, f/2.4, 11mm (ultrawide) Rear Camera","Li-Po 5000 mAh, non-removable Battery",Qualcomm SM8150 Snapdragon 855 (7 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 7,,,6 GB|128 GB,"6.67 inch, 107.4 cm 2 (~84.2% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom 12 MP, f/2.2, 113˚, 17mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF Rear Camera",Li-Po 5000 mAh Battery,Qualcomm SM8250 Snapdragon 865 5G (7 nm+) Processor,1 Year,Not Available,,,,
Asus Zenfone 7 Pro,,,8 GB|256 GB,"6.67 inch, 107.4 cm 2 (~84.2% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 113˚, 17mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF Rear Camera",Li-Po 5000 mAh Battery,Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+) Processor,1 Year,Not Available,,,,
Asus Zenfone 8,,,6 GB|128 GB,"5.9 inch, 84.0 cm 2 (~82.9% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS 12 MP, f/2.2, 112˚, 14mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF Rear Camera",Li-Po 4000 mAh Battery,Qualcomm SM8350 Snapdragon 888 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 8 Flip,,,8 GB|128 GB,"6.67 inch, 107.4 cm 2 (~84.2% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom 12 MP, f/2.2, 112˚, 14mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF Rear Camera",Li-Po 5000 mAh Battery,Qualcomm SM8350 Snapdragon 888 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone 9,,,6 GB|128 GB,"5.9 inch, 84.4 cm 2 (~84.6% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, gimbal OIS 12 MP, f/2.2, 14mm, 113° (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF Rear Camera",Li-Po 4300 mAh Battery,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max (M1) ZB555KL,,,2 GB|16 GB,"5.5 inch, 88.1 cm 2 (~84.4% screen-to-body ratio) Display","13 MP, f/2.0, PDAF 8 MP, 17mm (ultrawide) Rear Camera","Li-Po 4000 mAh, non-removable Battery",Qualcomm MSM8917 Snapdragon 425 (28 nm) Qualcomm MSM8937 Snapdragon 430 (28 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max (M1) ZB556KL,,,3 GB|32 GB,"5.45 inch, 86.5 cm 2 (~82.8% screen-to-body ratio) Display","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm, PDAF Rear Camera","Li-Po 4000 mAh, non-removable Battery",Qualcomm MSM8937 Snapdragon 430 (28 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max (M2) ZB633KL,,,3 GB|32 GB,"6.26 inch, 97.8 cm 2 (~80.9% screen-to-body ratio) Display","13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF Auxiliary lens Rear Camera","Li-Ion 4000 mAh, non-removable Battery",Qualcomm SDM632 Snapdragon 632 (14 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max Plus (M1) ZB570TL,,,2 GB|16 GB,"5.7 inch, 83.8 cm 2 (~75.3% screen-to-body ratio) Display","16 MP, f/2.0, 35mm (standard), PDAF 8 MP, 17mm (ultrawide), no AF Rear Camera","Li-Po 4130 mAh, non-removable Battery",Mediatek MT6750T (28 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max Plus (M2) ZB634KL,,,3 GB|32 GB,"6.26 inch, 98.7 cm 2 (~81.4% screen-to-body ratio) Display","12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF Auxiliary lens Rear Camera","Li-Po 4000 mAh, non-removable Battery",Qualcomm Snapdragon SiP 1 Processor,1 Year,Not Available,,,,
Asus Zenfone Max Pro (M1) ZB601KL/ZB602K,,,3 GB|32 GB,"5.99 inch, 92.1 cm 2 (~76.2% screen-to-body ratio) Display","13 MP, f/2.2, 25mm (wide), 1.12µm, PDAF Auxiliary lens or 16 MP, f/2.0, PDAF Auxiliary lens (6 GB RAM model only) Rear Camera","Li-Po 5000 mAh, non-removable Battery",Qualcomm SDM636 Snapdragon 636 (14 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max Pro (M2) ZB631KL,,,3 GB|32 GB,"6.26 inch, 97.8 cm 2 (~82.0% screen-to-body ratio) Display","12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF Auxiliary lens Rear Camera","Li-Po 5000 mAh, non-removable Battery",Qualcomm SDM660 Snapdragon 660 (14 nm) Processor,1 Year,Not Available,,,,
Asus Zenfone Max Shot ZB634KL,,,3 GB|32 GB,"6.26 inch, 98.7 cm 2 (~81.4% screen-to-body ratio) Display","12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm Auxiliary lens Rear Camera","Li-Po 4000 mAh, non-removable Battery",Qualcomm Snapdragon SiP 1 Processor,1 Year,Not Available,,,,
Asus Zenfone V V520KL,,,4 GB|32 GB,"5.2 inch, 74.5 cm 2 (~70.0% screen-to-body ratio) Display","23 MP, f/2.0, 1/2.6"", 1.0µm, PDAF, 4-axis OIS Rear Camera","Li-Ion 3000 mAh, non-removable Battery",Qualcomm MSM8996 Snapdragon 820 (14 nm) Processor,1 Year,Not Available,,,,
Google Pixel,,,4 GB|32 GB,"5.0 inch, 68.9 cm 2 (~69.0% screen-to-body ratio) Display","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF Rear Camera","Li-Ion 2770 mAh, non-removable Battery",Qualcomm MSM8996 Snapdragon 821 (14 nm) Processor,1 Year,Not Available,,,,
Google Pixel 10,,,12 GB|128 GB,"6.3 inch, 94.7 cm 2 (~86.1% screen-to-body ratio) Display","48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS 10.8 MP, f/3.1, 112mm (telephoto), 1/3.2"", dual pixel PDAF, OIS, 5x optical zoom 13 MP, f/2.2, 120˚ (ultrawide), 1/3.1"", PDAF Rear Camera",Li-Ion 4970 mAh Battery,Google Tensor G5 (3 nm) Processor,1 Year,Not Available,,,,
Google Pixel 10 Pro,,,16 GB|128 GB,"6.3 inch, 96.3 cm 2 (~87.6% screen-to-body ratio) Display","50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/2.8, 113mm (periscope telephoto), 1/2.55"", dual pixel PDAF, OIS, 5x optical zoom 48 MP, f/1.7, 123˚ (ultrawide), 1/2.55"", dual pixel PDAF Rear Camera",Li-Ion 4870 mAh Battery,Google Tensor G5 (3 nm) Processor,1 Year,Not Available,,,,
Google Pixel 10 Pro Fold,,,16 GB|256 GB,"8.0 inch, 206.3 cm 2 (~88.4% screen-to-body ratio) Display","48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS 10.8 MP, f/3.1, 112mm (telephoto), 1/3.2"", dual pixel PDAF, OIS, 5x optical zoom 10.5 MP, f/2.2, 127˚ (ultrawide), 1/3.4"", PDAF Rear Camera",5015 mAh Battery,Google Tensor G5 (3 nm) Processor,1 Year,Not Available,,,,
Google Pixel 10 Pro XL,,,16 GB|256 GB,"6.8 inch, 109.7 cm 2 (~88.0% screen-to-body ratio) Display","50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/2.8, 113mm (periscope telephoto), 1/2.55"", dual pixel PDAF, OIS, 5x optical zoom 48 MP, f/1.7, 123˚ (ultrawide), 1/2.55"", dual pixel PDAF, Rear Camera",Li-Ion 5200 mAh Battery,Google Tensor G5 (3 nm) Processor,1 Year,Not Available,,,,
Google Pixel 10a,,,8 GB|128 GB,"6.3 inch, 94.7 cm 2 (~84.3% screen-to-body ratio) Display","48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide), 1/3.1"", 1.12µm Rear Camera",Li-Po 5100 mAh Battery,Google Tensor G4 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 2,,,4 GB|64 GB,"5.0 inch, 68.9 cm 2 (~67.9% screen-to-body ratio) Display","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera","Li-Ion 2700 mAh, non-removable Battery",Qualcomm MSM8998 Snapdragon 835 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel 2 XL,,,4 GB|64 GB,"6.0 inch, 92.6 cm 2 (~76.4% screen-to-body ratio) Display","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera","Li-Ion 3520 mAh, non-removable Battery",Qualcomm MSM8998 Snapdragon 835 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel 3,,,4 GB|64 GB,"5.5 inch, 76.7 cm 2 (~77.2% screen-to-body ratio) Display","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera","Li-Po 2915 mAh, non-removable Battery",Qualcomm SDM845 Snapdragon 845 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel 3 XL,,,4 GB|64 GB,"6.3 inch, 100.3 cm 2 (~82.8% screen-to-body ratio) Display","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera","Li-Po 3430 mAh, non-removable Battery",Qualcomm SDM845 Snapdragon 845 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel 3a,,,4 GB|64 GB,"5.6 inch, 79.6 cm 2 (~75.0% screen-to-body ratio) Display","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera","Li-Po 3000 mAh, non-removable Battery",Qualcomm SDM670 Snapdragon 670 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel 3a XL,,,4 GB|64 GB,"6.0 inch, 92.9 cm 2 (~76.3% screen-to-body ratio) Display","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera","Li-Po 3700 mAh, non-removable Battery",Qualcomm SDM670 Snapdragon 670 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel 4,,,6 GB|64 GB,"5.7 inch, 80.7 cm 2 (~79.8% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom Rear Camera","Li-Po 2800 mAh, non-removable Battery",Qualcomm SM8150 Snapdragon 855 (7 nm) Processor,1 Year,Not Available,,,,
Google Pixel 4 XL,,,6 GB|64 GB,"6.3 inch, 98.0 cm 2 (~81.3% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom Rear Camera","Li-Po 3700 mAh, non-removable Battery",Qualcomm SM8150 Snapdragon 855 (7 nm) Processor,1 Year,Not Available,,,,
Google Pixel 4a,,,6 GB|128 GB,"5.81 inch, 83.2 cm 2 (~83.3% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS Rear Camera",Li-Po 3140 mAh Battery,Qualcomm SDM730 Snapdragon 730G (8 nm) Processor,1 Year,Not Available,,,,
Google Pixel 4a 5G,,,6 GB|128 GB,"6.2 inch, 95.7 cm 2 (~84.1% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.2, 107˚ (ultrawide), 1.0µm Rear Camera",Li-Po 3885 mAh Battery,Qualcomm SM7250 Snapdragon 765G 5G (7 nm) Processor,1 Year,Not Available,,,,
Google Pixel 5,,,8 GB|128 GB,"6.0 inch, 87.6 cm 2 (~85.9% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.2, 117˚ (ultrawide), 1.0µm Rear Camera",Li-Po 4080 mAh Battery,Qualcomm SM7250 Snapdragon 765G 5G (7 nm) Processor,1 Year,Not Available,,,,
Google Pixel 5a 5G,,,6 GB|128 GB,"6.34 inch, 97.0 cm 2 (~84.9% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.2, 119˚ (ultrawide), 1.0µm Rear Camera",Li-Po 4680 mAh Battery,Qualcomm SM7250 Snapdragon 765G 5G (7 nm) Processor,1 Year,Not Available,,,,
Google Pixel 6,,,8 GB|128 GB,"6.4 inch, 98.9 cm 2 (~83.4% screen-to-body ratio) Display","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm Rear Camera",Li-Ion 4614 mAh Battery,Google Tensor (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel 6 Pro,,,12 GB|128 GB,"6.7 inch, 110.6 cm 2 (~88.9% screen-to-body ratio) Display","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/3.5, 104mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 4x optical zoom 12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm Rear Camera",Li-Ion 5003 mAh Battery,Google Tensor (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel 6a,,,6 GB|128 GB,"6.1 inch, 90.7 cm 2 (~83.0% screen-to-body ratio) Display","12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm Rear Camera",Li-Po 4410 mAh Battery,Google Tensor (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel 7,,,8 GB|128 GB,"6.3 inch, 96.7 cm 2 (~84.9% screen-to-body ratio) Display","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 12 MP, f/2.2, 114˚ (ultrawide), 1/2.9"", 1.25µm Rear Camera",Li-Ion 4355 mAh Battery,Google Tensor G2 (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel 7 Pro,,,8 GB|128 GB,"6.7 inch, 110.6 cm 2 (~88.7% screen-to-body ratio) Display","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/3.5, 120mm (periscope telephoto), 1/2.55"", 0.7µm, dual pixel PDAF, OIS, 5x optical zoom 12 MP, f/2.2, 126˚ (ultrawide), 1/2.9"", 1.25µm, AF Rear Camera",Li-Ion 5000 mAh Battery,Google Tensor G2 (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel 7a,,,8 GB|128 GB,"6.1 inch, 90.7 cm 2 (~81.8% screen-to-body ratio) Display","64 MP, f/1.9, 26mm (wide), 1/1.73"", 0.8µm, dual pixel PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide), 1.12µm Rear Camera",Li-Po 4385 mAh Battery,Google Tensor G2 (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel 8,,,8 GB|128 GB,"6.2 inch, 91.1 cm 2 (~85.5% screen-to-body ratio) Display","50 MP (12 MP eff.), f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 12 MP, f/2.2, 126˚ (ultrawide), 1/2.9"", 1.25µm, AF Rear Camera",Li-Ion 4575 mAh Battery,Google Tensor G3 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 8 Pro,,,12 GB|128 GB,"6.7 inch, 108.7 cm 2 (~87.4% screen-to-body ratio) Display","50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/2.8, 113mm (periscope telephoto), 1/2.55"", 0.7µm, dual pixel PDAF, OIS, 5x optical zoom 48 MP, f/2.0, 126˚ (ultrawide), 1/2.0"", 0.8µm, dual pixel PDAF Rear Camera",Li-Ion 5050 mAh Battery,Google Tensor G3 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 8a,,,8 GB|128 GB,"6.1 inch, 90.3 cm 2 (~81.6% screen-to-body ratio) Display","64 MP (16 MP eff.), f/1.9, 26mm (wide), 1/1.73"", 0.8µm, dual pixel PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide), 1.12µm Rear Camera",Li-Po 4492 mAh Battery,Google Tensor G3 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 9,,,12 GB|128 GB,"6.3 inch, 94.7 cm 2 (~86.1% screen-to-body ratio) Display","50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/1.7, 123˚ (ultrawide), 1/2.55"", dual pixel PDAF Rear Camera",Li-Ion 4700 mAh Battery,Google Tensor G4 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 9 Pro,,,16 GB|128 GB,"6.3 inch, 96.3 cm 2 (~87.6% screen-to-body ratio) Display","50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/2.8, 113mm (periscope telephoto), 1/2.55"", dual pixel PDAF, OIS, 5x optical zoom 48 MP, f/1.7, 123˚ (ultrawide), 1/2.55"", dual pixel PDAF Rear Camera",Li-Ion 4700 mAh Battery,Google Tensor G4 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 9 Pro Fold,,,16 GB|256 GB,"8.0 inch, 207.4 cm 2 (~89.0% screen-to-body ratio) Display","48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS 10.8 MP, f/3.1, 112mm (telephoto), 1/3.2"", dual pixel PDAF, OIS, 5x optical zoom 10.5 MP, f/2.2, 127˚ (ultrawide), 1/3.4"", PDAF Rear Camera",4650 mAh Battery,Google Tensor G4 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 9 Pro XL,,,16 GB|128 GB,"6.8 inch, 109.7 cm 2 (~88.0% screen-to-body ratio) Display","50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 48 MP, f/2.8, 113mm (periscope telephoto), 1/2.55"", dual pixel PDAF, OIS, 5x optical zoom 48 MP, f/1.7, 123˚ (ultrawide), 1/2.55"", dual pixel PDAF, Rear Camera",Li-Ion 5060 mAh Battery,Google Tensor G4 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel 9a,,,8 GB|128 GB,"6.3 inch, 94.7 cm 2 (~83.5% screen-to-body ratio) Display","48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide), 1/3.1"", 1.12µm Rear Camera",Li-Po 5100 mAh Battery,Google Tensor G4 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel C,,,3 GB|32 GB,"10.2 inch, 313.8 cm 2 (~72.4% screen-to-body ratio) Display","8 MP, f/2.4 Rear Camera","Li-Po 9240 mAh, non-removable (34.2 Wh) Battery",Nvidia Tegra X1 Processor,1 Year,Not Available,,,,
Google Pixel Fold,,,12 GB|256 GB,"7.6 inch, 183.3 cm 2 (~82.7% screen-to-body ratio) Display","48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS 10.8 MP, f/3.1, 112mm (telephoto), 1/3.1"", 1.22µm, dual pixel PDAF, OIS, 5x optical zoom 10.8 MP, f/2.2, 121˚, (ultrawide), 1/3.0"", 1.25µm Rear Camera",Li-Po 4821 mAh Battery,Google Tensor G2 (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel Tablet,,,8 GB|128 GB,"10.95 inch, 347.7 cm 2 (~79.7% screen-to-body ratio) Display","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm Rear Camera",Li-Po 7020 mAh (27 Wh) Battery,Google Tensor G2 (5 nm) Processor,1 Year,Not Available,,,,
Google Pixel Watch,,,2 GB|32 GB,1.2 inch Display,,Li-Ion 294 mAh Battery,Exynos 9110 (10 nm) Processor,1 Year,Not Available,,,,
Google Pixel Watch 2,,,2 GB|32 GB,1.2 inch Display,,Li-Ion 306 mAh Battery,Qualcomm 5100 Processor,1 Year,Not Available,,,,
Google Pixel Watch 3,,,2 GB|32 GB,1.4 inch Display,,Li-Ion 420 mAh Battery,Qualcomm SW5100 Processor,1 Year,Not Available,,,,
Google Pixel Watch 4,,,2 GB|32 GB,1.4 inch Display,,Li-Ion 455 mAh Battery,Qualcomm Snapdragon W5 Gen 2 (4 nm) Processor,1 Year,Not Available,,,,
Google Pixel XL,,,4 GB|32 GB,"5.5 inch, 83.4 cm 2 (~71.2% screen-to-body ratio) Display","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF Rear Camera","Li-Ion 3450 mAh, non-removable Battery",Qualcomm MSM8996 Snapdragon 821 (14 nm) Processor,1 Year,Not Available,,,,
